request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_78,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_79,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_80,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_81,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_82,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_83,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_84,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_85,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_86,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_87,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_88,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_89,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,Pay ZAR 2560.00 in full while preserving the ZAR 7600.00 minimum balance.
request_91,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_92,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_93,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Pay EUR 572.00 in full while preserving the EUR 600.00 minimum balance.
request_95,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_96,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_97,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_98,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_99,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_100,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_101,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_102,1716.0,not_affordable,not_recommended,none,2026-04-05,none,Do not proceed: only EUR 1716.00 is safe today and no eligible plan completes the request safely.
request_103,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_104,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_105,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_106,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_107,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_108,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_109,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_110,7748.69,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the ZAR 11200.00 minimum balance.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,Pay IDR 16625000.00 in full while preserving the IDR 23022800.00 minimum balance.
request_112,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_113,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_114,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_115,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_116,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_117,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_118,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_119,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_120,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_121,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_122,7126773.33,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the IDR 12588500.00 minimum balance.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,Pay IDR 4076000.00 in full while preserving the IDR 18091200.00 minimum balance.
request_124,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_125,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_126,74344.57,not_affordable,not_recommended,none,,none,Do not proceed: only INR 74344.57 is safe today and no eligible plan completes the request safely.
request_127,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_128,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_129,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_130,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_131,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_132,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_133,1257596.42,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 1257596.42 is safe today and no eligible plan completes the request safely.
request_134,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_135,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_136,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_137,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_138,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_139,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_140,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_141,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.60 in full while preserving the USD 1700.00 minimum balance.
request_143,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_144,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_145,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_146,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_147,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_148,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_149,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_150,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_151,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_152,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_153,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_154,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_155,56589.65,not_affordable,not_recommended,none,,none,Do not proceed: only INR 56589.65 is safe today and no eligible plan completes the request safely.
request_156,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_157,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_158,84101.33,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the INR 131400.00 minimum balance.
request_159,262.28,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 262.28 is safe today and no eligible plan completes the request safely.
request_160,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_161,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_162,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_163,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_164,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,Pay INR 80600.00 in full while preserving the INR 95000.00 minimum balance.
request_166,1007.97,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the USD 1700.00 minimum balance.
request_167,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_168,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_169,8159.32,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 8159.32 is safe today and no eligible plan completes the request safely.
request_170,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_171,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_172,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_173,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_174,397.35,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the EUR 700.00 minimum balance.
request_175,285.48,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 285.48 is safe today and no eligible plan completes the request safely.
request_176,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_177,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_178,1018.54,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the EUR 1400.00 minimum balance.
request_179,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_180,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_181,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_182,33404.31,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 33404.31 is safe today and no eligible plan completes the request safely.
request_183,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_184,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_185,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_186,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_187,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_188,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_189,207.48,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 207.48 is safe today and no eligible plan completes the request safely.
request_190,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_191,299.48,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 299.48 is safe today and no eligible plan completes the request safely.
request_192,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_193,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_194,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_195,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_196,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_197,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_198,65389.22,not_affordable,not_recommended,none,,none,Do not proceed: only INR 65389.22 is safe today and no eligible plan completes the request safely.
request_199,22707772.6,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 22707772.60 is safe today and no eligible plan completes the request safely.
request_200,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.0,2026-04-03,none,Pay IDR 23997000.00 in full while preserving the IDR 17304500.00 minimum balance.
request_202,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_203,499.93,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the EUR 1400.00 minimum balance.
request_204,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_205,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_206,486.96,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the EUR 900.00 minimum balance.
request_207,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_208,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_209,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_210,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_211,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_212,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_213,1165.63,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the USD 2100.00 minimum balance.
request_214,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_215,10395.15,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use the supplied installment schedule because it completes safely by the deadline while preserving the ZAR 15700.00 minimum balance.
request_216,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_217,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_218,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_219,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_220,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_221,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.0,2026-01-05,none,Pay ZAR 34078.00 in full while preserving the ZAR 27300.00 minimum balance.
request_223,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_224,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_225,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_226,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_227,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
request_228,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_229,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_230,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_231,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only ZAR 0.00 is safe today and no eligible plan completes the request safely.
request_232,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_233,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_234,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only EUR 0.00 is safe today and no eligible plan completes the request safely.
request_235,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_236,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only IDR 0.00 is safe today and no eligible plan completes the request safely.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.0,2026-04-05,none,Pay IDR 23826000.00 in full while preserving the IDR 22431500.00 minimum balance.
request_238,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_239,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only USD 0.00 is safe today and no eligible plan completes the request safely.
request_240,0.0,not_affordable,not_recommended,none,,none,Do not proceed: only INR 0.00 is safe today and no eligible plan completes the request safely.
